SALES_ID,SALES_REP,EMAILS,BRANDS,PLANT_COST,UNIT_PRICE,QUANTITY,COST,PROFIT,COUNTRIES,REGION ,MONTHS,YEARS
10102,Gill,gillhell@uk.com,budweiser,250,500,815,407500,203750,Nigeria,west,February,2018
10107,Thompson,thomp@uk.com,grand malt,90,150,954,143100,57240,Nigeria,Southeast,July,2017
10112,Jones,jone.ai@yahoo.com,hero,150,200,902,180400,45100,Nigeria,northcentral ,December,2019
10117,Parent,parentty@uk.com,castle lite,180,450,837,376650,225990,Nigeria,northeast ,May,2017
10122,Smith,smithMan@yahoo.com,trophy,150,200,860,172000,43000,Nigeria,northwest,October,2018
10127,Howard,howard_freeman@yahoo.com,beta malt,80,150,982,147300,68740,Nigeria,southsouth,March,2017
10132,Morgan,morganny@gmail.com,eagle lager,170,250,826,206500,66080,Nigeria,west,August,2017
10137,Thompson,thomp@uk.com,budweiser,250,500,821,410500,205250,Nigeria,Southeast,January,2017
10142,Jardine,jard@gmail.com,grand malt,90,150,827,124050,49620,Nigeria,northcentral ,June,2017
10147,Jardine,jard@gmail.com,hero,150,200,952,190400,47600,Nigeria,northeast ,November,2017
10152,Parent,parentty@uk.com,castle lite,180,450,878,395100,237060,Nigeria,northwest,April,2019
10157,Jones,jone.ai@yahoo.com,trophy,150,200,920,184000,46000,Nigeria,southsouth,September,2018
10162,Gill,gillhell@uk.com,beta malt,80,150,931,139650,65170,Nigeria,west,February,2018
10167,Andrews,andy@gmail.com,eagle lager,170,250,769,192250,61520,Nigeria,Southeast,July,2019
10172,Jones,jone.ai@yahoo.com,budweiser,250,500,869,434500,217250,Nigeria,northcentral ,December,2018
10177,Sorvino,sorvi2000@gmail.com,grand malt,90,150,729,109350,43740,Nigeria,northeast ,May,2017
10182,Andrews,andy@gmail.com,hero,150,200,773,154600,38650,Nigeria,northwest,October,2019
10187,Gill,gillhell@uk.com,castle lite,180,450,879,395550,237330,Nigeria,southsouth,March,2018
10192,Jardine,jard@gmail.com,trophy,150,200,981,196200,49050,Nigeria,west,August,2019
10197,Jones,jone.ai@yahoo.com,beta malt,80,150,896,134400,62720,Nigeria,Southeast,January,2019
10202,Morgan,morganny@gmail.com,eagle lager,170,250,828,207000,66240,Nigeria,northcentral ,June,2019
10207,Jones,jone.ai@yahoo.com,budweiser,250,500,990,495000,247500,Nigeria,northeast ,November,2019
10212,Andrews,andy@gmail.com,grand malt,90,150,874,131100,52440,Nigeria,northwest,April,2017
10217,Howard,howard_freeman@yahoo.com,hero,150,200,957,191400,47850,Nigeria,southsouth,September,2019
10222,Morgan,morganny@gmail.com,castle lite,180,450,768,345600,207360,Nigeria,west,February,2018
10227,Parent,parentty@uk.com,trophy,150,200,810,162000,40500,Nigeria,Southeast,July,2018
10232,Jardine,jard@gmail.com,beta malt,80,150,934,140100,65380,Nigeria,northcentral ,December,2019
10237,Kivell,kivel_go@yahoo.com,eagle lager,170,250,968,242000,77440,Nigeria,northeast ,May,2019
10242,Gill,gillhell@uk.com,budweiser,250,500,975,487500,243750,Nigeria,northwest,October,2017
10247,Jardine,jard@gmail.com,grand malt,90,150,754,113100,45240,Nigeria,southsouth,March,2019
10252,Jones,jone.ai@yahoo.com,hero,150,200,941,188200,47050,Nigeria,west,August,2017
10257,Morgan,morganny@gmail.com,castle lite,180,450,961,432450,259470,Nigeria,Southeast,January,2018
10262,Jones,jone.ai@yahoo.com,trophy,150,200,885,177000,44250,Nigeria,northcentral ,June,2017
10267,Smith,smithMan@yahoo.com,beta malt,80,150,898,134700,62860,Nigeria,northeast ,November,2019
10272,Sorvino,sorvi2000@gmail.com,eagle lager,170,250,747,186750,59760,Nigeria,northwest,April,2017
10277,Gill,gillhell@uk.com,budweiser,250,500,850,425000,212500,Nigeria,southsouth,September,2017
10282,Sorvino,sorvi2000@gmail.com,grand malt,90,150,996,149400,59760,Nigeria,west,February,2019
10287,Jardine,jard@gmail.com,hero,150,200,1000,200000,50000,Nigeria,Southeast,July,2017
10292,Kivell,kivel_go@yahoo.com,castle lite,180,450,840,378000,226800,Nigeria,northcentral ,December,2018
10297,Andrews,andy@gmail.com,trophy,150,200,786,157200,39300,Nigeria,northeast ,May,2017
10302,Gill,gillhell@uk.com,beta malt,80,150,836,125400,58520,Nigeria,northwest,October,2017
10307,Thompson,thomp@uk.com,eagle lager,170,250,841,210250,67280,Nigeria,southsouth,March,2017
10312,Jones,jone.ai@yahoo.com,budweiser,250,500,937,468500,234250,Nigeria,west,August,2018
10317,Sorvino,sorvi2000@gmail.com,grand malt,90,150,754,113100,45240,Nigeria,Southeast,January,2017
10322,Jones,jone.ai@yahoo.com,hero,150,200,910,182000,45500,Nigeria,northcentral ,June,2018
10327,Smith,smithMan@yahoo.com,castle lite,180,450,983,442350,265410,Nigeria,northeast ,November,2018
10332,Kivell,kivel_go@yahoo.com,trophy,150,200,872,174400,43600,Nigeria,northwest,April,2019
10337,Jones,jone.ai@yahoo.com,beta malt,80,150,827,124050,57890,Nigeria,southsouth,September,2019
10342,Gill,gillhell@uk.com,eagle lager,170,250,922,230500,73760,Nigeria,west,February,2018
10347,Kivell,kivel_go@yahoo.com,budweiser,250,500,702,351000,175500,Nigeria,Southeast,July,2018
10352,Andrews,andy@gmail.com,grand malt,90,150,831,124650,49860,Nigeria,northcentral ,December,2019
10357,Gill,gillhell@uk.com,hero,150,200,985,197000,49250,Nigeria,northeast ,May,2017
10362,Thompson,thomp@uk.com,castle lite,180,450,718,323100,193860,Nigeria,northwest,October,2018
10367,Jones,jone.ai@yahoo.com,trophy,150,200,912,182400,45600,Nigeria,southsouth,March,2017
10372,Parent,parentty@uk.com,beta malt,80,150,996,149400,69720,Nigeria,west,August,2018
10377,Smith,smithMan@yahoo.com,eagle lager,170,250,795,198750,63600,Nigeria,Southeast,January,2017
10382,Howard,howard_freeman@yahoo.com,budweiser,250,500,863,431500,215750,Nigeria,northcentral ,June,2017
10387,Morgan,morganny@gmail.com,grand malt,90,150,703,105450,42180,Nigeria,northeast ,November,2017
